,BFS-Nummer,Anzahl
0,4746,99
1,230,61
2,1059,54
3,4,49
4,3352,43
5,4080,38
6,54,35
7,3203,34
8,4643,33
9,415,33
10,220,32
11,1702,32
12,329,31
13,3392,30
14,351,27
15,2701,27
16,261,26
17,2770,26
18,5002,20
19,3340,20
20,198,20
21,227,20
22,4045,19
23,3901,18
24,243,18
25,4021,17
26,96,17
27,4651,17
28,2581,17
29,3101,17
30,4003,16
31,345,15
32,942,15
33,6621,15
34,121,15
35,3402,15
36,4271,15
37,2196,14
38,1322,14
39,2495,14
40,1630,14
41,6616,14
42,62,13
43,1364,13
44,2761,13
45,2138,13
46,51,12
47,371,12
48,5192,12
49,69,12
50,5141,12
51,5586,11
52,6263,11
53,5645,11
54,3202,11
55,1051,10
56,928,10
57,1213,10
58,563,10
59,2513,10
60,6153,10
61,5889,10
62,2053,10
63,5591,10
64,1342,9
65,5622,9
66,3423,9
67,4200,9
68,199,9
69,1061,9
70,6608,9
71,158,9
72,4013,8
73,4044,8
74,1401,8
75,1095,8
76,4751,8
77,4163,8
78,4222,8
79,2183,8
80,1331,8
81,5909,8
82,5636,8
83,6729,8
84,6199,7
85,733,7
86,1024,7
87,156,7
88,2519,7
89,543,7
90,6712,7
91,6408,7
92,2825,7
93,2206,7
94,4282,7
95,295,6
96,5721,6
97,1367,6
98,5624,6
99,223,6
100,5583,6
101,3911,6
102,3378,6
103,3296,6
104,4280,6
105,4010,6
106,4204,6
107,2228,6
108,1031,6
109,6136,6
110,6643,6
111,3213,6
112,3001,6
113,2407,5
114,1081,5
115,310,5
116,6248,5
117,1345,5
118,3297,5
119,1347,5
120,135,5
121,2250,5
122,5822,5
123,6152,5
124,6618,5
125,2824,5
126,2937,5
127,3298,5
128,4255,5
129,5236,5
130,1707,5
131,6623,5
132,1052,5
133,3023,4
134,1054,4
135,305,4
136,172,4
137,5254,4
138,6421,4
139,4881,4
140,4076,4
141,355,4
142,3251,4
143,5724,4
144,571,4
145,1701,4
146,2175,4
147,4258,4
148,4033,4
149,321,4
150,3405,4
151,3274,4
152,2823,4
153,5890,4
154,155,4
155,5627,4
156,4144,4
157,3231,4
158,3022,4
159,1404,4
160,4095,4
161,6110,4
162,2546,4
163,153,4
164,6630,4
165,5635,4
166,6612,3
167,668,3
168,3782,3
169,2,3
170,2939,3
171,4062,3
172,4304,3
173,1001,3
174,5072,3
175,3234,3
176,3401,3
177,954,3
178,3005,3
179,6104,3
180,5249,3
181,6711,3
182,92,3
183,1703,3
184,4891,3
185,5108,3
186,1508,3
187,5408,3
188,2543,3
189,4034,3
190,293,3
191,333,2
192,4135,2
193,5858,2
194,6002,2
195,1361,2
196,356,2
197,2542,2
198,2578,2
199,1362,2
200,118,2
201,3851,2
202,55,2
203,4048,2
204,5113,2
205,193,2
206,492,2
207,4411,2
208,1125,2
209,1132,2
210,2904,2
211,1372,2
212,4175,2
213,6800,2
214,4083,2
215,2848,2
216,3374,2
217,902,2
218,3619,2
219,2771,2
220,703,2
221,1091,2
222,2763,2
223,1058,2
224,616,2
225,141,2
226,4006,2
227,1407,2
228,1104,2
229,2125,2
230,9,2
231,5091,2
232,4234,2
233,131,2
234,191,2
235,5414,2
236,404,2
237,3951,2
238,4027,2
239,182,2
240,5112,2
241,533,2
242,4001,2
243,3271,2
244,88,2
245,4283,2
246,4023,2
247,5725,1
248,929,1
249,981,1
250,5710,1
251,5167,1
252,322,1
253,841,1
254,5205,1
255,1301,1
256,6807,1
257,6454,1
258,2576,1
259,5606,1
260,3272,1
261,1321,1
262,405,1
263,6640,1
264,901,1
265,1004,1
266,4063,1
267,151,1
268,5162,1
269,4545,1
270,10,1
271,670,1
272,3407,1
273,2493,1
274,2262,1
275,21,1
276,5317,1
277,1205,1
278,5401,1
279,6487,1
280,294,1
281,4073,1
282,3982,1
283,173,1
284,4206,1
285,3235,1
286,791,1
287,4134,1
288,1506,1
289,6057,1
290,4571,1
291,56,1
292,4781,1
293,2863,1
294,1403,1
295,301,1
296,1065,1
297,388,1
298,4275,1
299,4198,1
300,4196,1
301,5757,1
302,4195,1
303,4121,1
304,5226,1
305,386,1
306,590,1
307,6232,1
308,33,1
309,1203,1
310,2500,1
311,3293,1
312,2842,1
313,1030,1
314,83,1
315,5886,1
316,6198,1
317,3722,1
318,1139,1
319,4140,1
320,72,1
321,4566,1
322,3882,1
323,2621,1
324,498,1
325,607,1
326,2901,1
327,5590,1
328,4536,1
329,1093,1
330,4039,1
331,983,1
332,113,1
333,6708,1
334,84,1
335,662,1
